Time	Magnitude	Latitude	Longitude	Depth	ClosestLakeID	ClosestLakeDist_km
1993.996429	5.59	9.753	-70.665	14.8	2894	112.332449633173
1993.997094	5.54	-6.328	148.445	15	5747	368.162261869628
1994.004271	5.58	49.662	-126.889	21.9	4747	93.6284553818807
1994.004777	5.69	36.09	100.184	10	9920053	38.2369960249808
1994.005636	6.06	-49.031	164.478	16.9	525	490.676215878714
1994.009073	5.91	-4.297	135.021	10	1220	150.274429176133
1994.025367	5.65	-45.963	-76.582	14	588	363.469381122075
1994.026108	6.08	25.163	97.282	11.7	8315	130.39925006328
1994.033818	5.59	2.731	127.24	17.5	502	660.821394133988
1994.043864	6.65	34.164	-118.55	15	209	269.756508342041
1994.053663	6.95	1.052	127.718	19.2	1035	810.372385112285
1994.05684	5.83	-62.092	-56.535	10	304	1054.54809292062
1994.058903	5.54	-60.676	154.087	14	525	1938.54888873674
1994.065162	6.23	10.504	-41.708	15	575	1396.01241664446
1994.06985	5.56	-21.482	-173.921	15	290	2156.43137291499
1994.084649	5.52	19.279	-155.34	24.4	2468	3837.98375279972
1994.090017	5.77	42.767	-111.021	10	3848	52.5522922170837
1994.090166	5.5	-15.488	167.045	27.9	1782	1990.2329327564
1994.090774	5.52	-41.984	84.4	10	1390	3117.99735255762
1994.093864	5.53	-21.727	-173.957	23.7	290	2130.11607025183
1994.097145	6.16	0.447	30.178	11.5	637	50.997824202036
1994.103065	5.51	66.452	-19.385	10	9920047	240.668847474854
1994.114108	6.63	-10.706	-128.893	10	634	4407.09049100495
1994.114428	5.67	49.081	-129.138	14.9	4747	267.73420890317
1994.117997	5.71	-41.304	-89.557	15	214	1398.47547368469
1994.123788	6.84	-4.986	104.23	21.1	1308	35.6942364065508
1994.124248	5.57	36.14	100.095	14.7	9920053	46.4385060049951
1994.129806	5.79	-9.525	152.091	16.8	5747	505.626424645829
1994.130541	6.25	-45.288	96.217	10	1390	2433.10041633629
1994.135742	5.98	1.996	126.454	28.7	502	697.882589729833
1994.14304	5.66	-21.751	-113.627	10	929	4164.10887247988
1994.144654	6.1	30.824	60.593	11.4	543	79.9050871351093
1994.146437	5.69	18.553	146.824	27.3	1019	2045.17274143648
1994.159923	5.6	44.576	-129.953	15	3567	632.585753405109
1994.1606	6.03	29.106	52.688	10	1012	39.8685856639782
1994.172395	5.79	-61.311	154.504	10	525	1985.82524525091
1994.174769	5.81	-21.605	-113.811	15	929	4179.88802402736
1994.177133	5.58	11.776	139.99	16.2	1215	1534.31427240731
1994.184004	5.74	-9.464	159.676	25	5747	1337.49546114086
1994.19627	6.24	-1.173	-24.019	10	1560	1511.61391834464
1994.198906	6.04	11.116	-88.142	15	168	240.017646772492
1994.205962	5.64	-36.05	52.113	15	1098	1767.17381776868
1994.206975	5.71	24.713	-109.238	20	4142	189.130571041156
1994.250978	5.63	-36.69	78.571	15	1390	3526.64336605807
1994.252561	5.57	-15.139	168.283	24.7	1782	2113.85418009415
1994.253436	5.73	-15.606	-172.953	15	290	2799.07553988047
1994.257084	6.16	51.333	-178.11	20.9	376	1339.87284260117
1994.259532	5.84	26.118	96.903	13.7	8315	239.906237647022
1994.260122	6.12	-17.385	167.861	19.1	1782	1918.64883937488
1994.264337	6.38	40.636	143.745	18.5	1588	471.978660664197
1994.272389	6.06	23.745	126.899	16.4	8210	824.083891679556
1994.27371	5.91	11.603	42.944	10.3	814	135.264346885757
1994.27835	5.78	22.797	123.688	15.2	1777	647.758377221424
1994.301745	5.53	35.892	131.066	28.8	4542	213.217741955035
1994.306983	6.09	-14.183	167.584	12	1782	2133.33393478994
1994.317293	6.24	-21.451	-173.714	28	290	2168.51802009125
1994.317841	6.01	13.087	119.58	20.8	755	182.184142107037
1994.32087	5.54	-39.511	-75.142	12.3	423	240.488602764983
1994.328543	6.08	36.92	67.056	20.1	559	177.55140992343
1994.331877	6.1	-1.098	97.577	20	1510	333.967183234682
1994.342955	5.8	-60.044	-18.45	15	304	2942.33962038878
1994.348029	5.52	-36.178	-99.423	10	214	2365.69768621648
1994.350515	5.63	-1.937	99.743	29.2	1510	171.968957926554
1994.357332	5.53	25.056	-109.196	17	4142	161.536524089696
1994.365272	5.57	-21.203	169.553	27.7	1782	1849.69334293822
1994.373262	5.53	-0.09	-16.635	10	9910492	965.300330964544
1994.388045	6.12	24.193	122.563	25	1777	463.135478087199
1994.388266	5.54	-15.605	-172.068	14.1	290	2833.88311544509
1994.390383	5.52	38.699	26.533	21.4	3963	160.695480585449
1994.393345	6.43	-4.144	135.446	15	1220	100.220082201131
1994.393779	5.63	23.09	142.507	15	1019	1454.88499565751
1994.394777	5.53	-2.048	138.817	26.2	1215	102.83356768214
1994.395015	5.84	7.688	94.16	20.6	1042	517.911923345755
1994.396583	5.94	35.259	-4.072	10.7	1854	122.428476718241
1994.408692	5.61	-10.426	-108.606	10	4328	3298.35207395813
1994.411328	6	7.415	-72.08	10	9900024	81.1887603664383
1994.418825	5.78	3.495	-78.835	15.1	9920046	382.462353341019
1994.42313	6.33	24.511	121.859	13.9	1777	384.178934820895
