dmax_km	EF_All	Jack90_All_Low	Jack90_All_High	EF_Reservoir	Jack90_Re_Low	Jack90_Re_High	EF_Natural	Jack90_Na_Low	Jack90_Na_High	Null90_All_Low	Null90_All_High	Null90_Re_Low	Null90_Re_High	Null90_Na_Low	Null90_Na_High
70	1.11221132926651	1.03005372103465	1.20219454166916	1.17313161212774	1.04656190501376	1.32507142417512	1.05461373316419	0.957511781938545	1.17028830950221	0.770536011729022	1.27090674401383	0.712156283729477	1.40006764615526	0.681863639267862	1.43191087863451
75	1.14413456280613	1.06200823463648	1.23536586424759	1.25868773450041	1.12733325921435	1.41184106912552	1.03339942648203	0.931094737065298	1.1400795868015	0.780709071123816	1.25695432200542	0.729769498959888	1.37044357167543	0.691220251056698	1.40009465176938
80	1.11284485887087	1.03339472771077	1.19649576514739	1.23083306907513	1.10929093335551	1.37043700994059	1.00006162188809	0.904813339989682	1.10352065634884	0.788315509075455	1.24490463640335	0.743941187139404	1.34433238659102	0.697411016108778	1.39224309999857
85	1.08558642296351	1.01414121677204	1.16302594899692	1.21339488586402	1.09728098985509	1.34381475137043	0.961097100377597	0.871483233768029	1.05976802129947	0.800044974855449	1.22634751970877	0.754102175743067	1.31513726715608	0.709345499220273	1.36516293937726
90	1.09097005087617	1.02444886295976	1.16346271708292	1.14291463878185	1.04499490122709	1.25339289333683	1.03535814517326	0.947426403529424	1.13164860132549	0.810046432023007	1.2125684773523	0.767145842438463	1.29275039840969	0.726360647633534	1.33341612735038
95	1.03541050136569	0.976385647364625	1.09893045909251	1.08743372348888	1.00004877600387	1.18396610674928	0.979006130360193	0.897787693010524	1.06256673530941	0.818227634593062	1.20554584815218	0.778271573636439	1.27180433483946	0.733377921930686	1.31980230988772
100	1.00462089495965	0.949545650321633	1.0622343446882	1.07969987681898	1.00004517692102	1.17026923282811	0.924583508214987	0.852679819338966	1.0000603669272	0.822079670633533	1.20006674239	0.783304322778934	1.26090704511309	0.736408937663678	1.3219204250949
105	0.97505252832178	0.923470847185651	1.02897123923549	1.05790233817921	0.974406100382085	1.14429028352439	0.890809931752785	0.822484468886217	0.960842494158111	0.826559137206912	1.18963898513431	0.787273010051169	1.25239596637802	0.750047404103349	1.3021662996187
110	0.992239964790817	0.94235293527378	1.04469715813779	1.07817754059263	1.0000493797666	1.16221710510048	0.906302232101235	0.840383741020501	0.973737393374791	0.830899910262568	1.18485005798457	0.7933713672581	1.24386092181802	0.755602416693356	1.29531423310997
115	1.01465318364004	0.964478920870025	1.06644740237736	1.06480058408735	0.99210827487974	1.14405797412961	0.963019920925795	0.896053399561583	1.03367520543527	0.835064593858784	1.17748567255226	0.800040551118686	1.2381562703981	0.763562104832883	1.28452340593173
120	1.0000541295591	0.953624670301976	1.04902206767507	1.08059007158944	1.00762399795679	1.1579512210876	0.920584850527766	0.856111330675885	0.98490556212515	0.841661768814595	1.1703565765431	0.80592237365262	1.22863349095495	0.76999061720647	1.27567175104495
125	0.990934757681923	0.947419185695481	1.03740749253997	1.04795609590993	0.981298042176753	1.11945668883897	0.932153617270088	0.870180718228581	0.993165802941987	0.843043502395709	1.16728389295157	0.809318549470722	1.21941588380726	0.775909732636364	1.26248988805463
130	1.00870109655683	0.965732284700877	1.05357216467727	1.03414246717071	0.970104834438441	1.10327855114331	0.982516249723638	0.920790329776112	1.04581655626089	0.847137684455845	1.16307513273727	0.810641674495364	1.21745306115887	0.782433991979021	1.25255564149401
135	0.984180285378123	0.944332519619241	1.02617225753492	1.00523142443707	0.947105614996759	1.06837818191944	0.962219248951922	0.904815948590067	1.01904833734655	0.850537216228817	1.15489399766607	0.81694235775876	1.20594237840071	0.78717855955782	1.24547655604915
140	0.98306396503116	0.944788617994846	1.02209578989115	1.03322871137057	0.975298387629355	1.09380784773732	0.930403599781372	0.87639670554857	0.983395601578554	0.854216196789625	1.15209623880174	0.821781827625102	1.19800499310448	0.7909591166079	1.23660345096443
145	0.950944685228023	0.914683507955802	0.987394782197123	1.01320898937461	0.96063824854938	1.06806623495388	0.886416300165961	0.835799533534028	0.937230101295825	0.856271485947991	1.14975709843141	0.827421400893988	1.19053701359523	0.793076940802723	1.23634214468528
