# Median water storage curves
# Sample sizes
# N_Reservoir_Increase	310
# N_Reservoir_Notrend	352
# N_Reservoir_Decrease	259
# N_Natural_Increase	218
# N_Natural_Notrend	376
# N_Natural_Decrease	456
# N_All_Increase	528
# N_All_Decrease	715

Year	Reservoir_Increase	Reservoir_Decrease	Natural_Increase	Natural_Decrease	All_Increase	All_Decrease
1995.25	-0.904948454058385	0.3782382329128	-0.455645394315053	0.375769061051273	-0.642128742802185	0.375849235796915
1995.33333333333	-0.913284503418074	0.384050928706037	-0.471893454641077	0.361005070038524	-0.659543311843694	0.370990489469495
1995.41666666667	-0.907804276620789	0.38021883477382	-0.475377595268065	0.3274616906502	-0.68543621303087	0.345796121441429
1995.5	-0.887934339598835	0.348140540103631	-0.513269735288662	0.26741793351849	-0.663385531916689	0.284397761027711
1995.58333333333	-0.870959327459387	0.336324445263774	-0.502127963191876	0.260672587904425	-0.655654486457655	0.274756368303093
1995.66666666667	-0.86856011192195	0.2795125899646	-0.49721181842474	0.271012501024583	-0.644953871445553	0.27589782556513
1995.75	-0.828842515725471	0.286142310178273	-0.447356568228538	0.286069919073552	-0.641055314890538	0.286106114625913
1995.83333333333	-0.837890463453491	0.261101748228516	-0.428394334855285	0.297976486097429	-0.626540802482298	0.286263749640028
1995.91666666667	-0.827508717821139	0.255105403371953	-0.382590691755265	0.309007053272861	-0.633506803939102	0.288488862408906
1996	-0.833800099924204	0.25091007424126	-0.376142750896824	0.312718175584474	-0.645782878297498	0.29554157482392
1996.08333333333	-0.86619156914094	0.242379406291707	-0.398206518252738	0.306894990803743	-0.646446159079238	0.298043604975015
1996.16666666667	-0.883643483013608	0.276401533657591	-0.372998568686002	0.348323454006243	-0.635988258818964	0.324331174607583
1996.25	-0.863532979496765	0.259819861443811	-0.333616167169929	0.404731160550317	-0.626953860325717	0.348063879643644
1996.33333333333	-0.89420577794239	0.306350286582281	-0.322081480475567	0.39893983807918	-0.621993474697571	0.363987119996125
1996.41666666667	-0.887529440747829	0.293796445499188	-0.362053134568291	0.354675164346086	-0.624663098471628	0.345865665080069
1996.5	-0.8779741308054	0.273388035774182	-0.384801766939336	0.301644247830701	-0.618191232250099	0.286638510190206
1996.58333333333	-0.841840405986517	0.22488457665034	-0.399417912448346	0.271129857358428	-0.595501914348513	0.257101516028618
1996.66666666667	-0.792632169616687	0.21598536859248	-0.439990129413092	0.305726075894583	-0.609593878133167	0.271820570751248
1996.75	-0.791330684785025	0.214524508201418	-0.396894194799145	0.283640984083923	-0.601284432537003	0.261182606786818
1996.83333333333	-0.777004131220197	0.217736725680325	-0.417775806899785	0.275472231655252	-0.577206041227502	0.25161290322498
1996.91666666667	-0.753845017160736	0.249585683656485	-0.378479299304453	0.275765123990672	-0.567450067322943	0.262746437796169
1997	-0.727806691639773	0.281623046412584	-0.397694215697253	0.303002522812165	-0.573433293959208	0.29584476810779
1997.08333333333	-0.741809231406643	0.281530308540825	-0.42106886475854	0.310875182753128	-0.566616969704891	0.297375005775596
1997.16666666667	-0.806719092111542	0.302765883043193	-0.424507985509623	0.316515128421037	-0.586353000167367	0.310837628950209
1997.25	-0.794549992561747	0.314331108702129	-0.398331295551118	0.300458211975446	-0.574190940520355	0.305597095273412
1997.33333333333	-0.778314933801477	0.337398651985315	-0.388125001008664	0.28716321569785	-0.606536092223698	0.309194254786367
1997.41666666667	-0.791335265511206	0.340149191400129	-0.420102553201159	0.253445563125147	-0.607330939289976	0.286158576146127
1997.5	-0.754947051506251	0.260476004189437	-0.465880330847967	0.177462938404518	-0.610812927611702	0.206752343577076
1997.58333333333	-0.787701506031132	0.231090524313293	-0.48553187260632	0.133644327460013	-0.608571558646879	0.174326995139836
1997.66666666667	-0.785282014650147	0.242037246715272	-0.430020113726802	0.160715465129848	-0.617947718526741	0.18993872824789
1997.75	-0.78503715914615	0.224980732984819	-0.399223059758055	0.151687350983503	-0.554992046991482	0.167638455930544
1997.83333333333	-0.794525094292976	0.22151700456699	-0.372511543413766	0.180127287131928	-0.54818298463991	0.19385070974644
1997.91666666667	-0.761915589035168	0.229933129910323	-0.367015814470629	0.176372393205535	-0.550371519799409	0.194442979447722
1998	-0.747650614140548	0.236604041252833	-0.363970412173126	0.184191234309226	-0.549274969404015	0.207646347164439
1998.08333333333	-0.75138664314601	0.260989237318801	-0.351781144705158	0.176712133247888	-0.543780773674628	0.208040536839457
1998.16666666667	-0.730496413505249	0.298945364639645	-0.379342613398068	0.215364242634489	-0.538044787571159	0.236425553175052
1998.25	-0.752913738312336	0.324007190553952	-0.348293396061253	0.214626702235986	-0.54968242758464	0.248904006493139
1998.33333333333	-0.792804840753906	0.357344792325654	-0.348438714668164	0.227064600541795	-0.55402008726297	0.275107541077165
1998.41666666667	-0.800518421216479	0.385015589184795	-0.382881474998734	0.201813271726863	-0.569911384235842	0.2726353790479
1998.5	-0.782046059597866	0.306657298080374	-0.410115993342789	0.190110703986492	-0.568057835684384	0.214146169620822
1998.58333333333	-0.739894400828107	0.25939423018013	-0.381069546896242	0.198569051643639	-0.543501153868913	0.212923607331465
1998.66666666667	-0.735200029142847	0.2448613178403	-0.392745547510095	0.195709823541866	-0.526328276433441	0.213395014548728
1998.75	-0.702708348704076	0.209885207102772	-0.388031285725928	0.207784292342111	-0.520980938788921	0.209080604515544
1998.83333333333	-0.751300487679963	0.27691914795104	-0.364193982407941	0.204563892441064	-0.52238203252951	0.226458731312921
1998.91666666667	-0.737991980546203	0.267888635870112	-0.359417933391086	0.203595884268454	-0.501697904620898	0.212785660739255
1999	-0.713171429463532	0.180453037879229	-0.372659235548822	0.193871761300039	-0.499060166464596	0.189477334230191
1999.08333333333	-0.759470180884541	0.208260788531972	-0.360795757246893	0.201494719723967	-0.516034556459325	0.201971026870941
1999.16666666667	-0.720267184631024	0.215062150089705	-0.351200451572778	0.208129565486342	-0.53827467660915	0.209290340719927
1999.25	-0.76713985009517	0.182731048546161	-0.355337093347313	0.226572829311678	-0.542550036316792	0.210408703554719
1999.33333333333	-0.764488633935772	0.246720589189192	-0.355635377015857	0.227650798245959	-0.542627696181256	0.229252905043692
1999.41666666667	-0.733522553606826	0.237515540921959	-0.382997230475148	0.210432053142136	-0.546749147338507	0.216533931358235
1999.5	-0.745790642910731	0.217022561081709	-0.425391088737037	0.200698738205583	-0.566066620130126	0.204284865884246
1999.58333333333	-0.687407336100157	0.178900940402945	-0.412512419319122	0.182696162069559	-0.535544581626447	0.182381766893946
1999.66666666667	-0.647088927480065	0.117128724070435	-0.413597160596673	0.204453183516787	-0.505098826255556	0.173917242001696
1999.75	-0.649980828928996	0.0342783335895494	-0.384686578643728	0.165509364295434	-0.483604605325403	0.113577055384404
1999.83333333333	-0.650561677049002	0.0368986450650857	-0.391320262672725	0.192269205033722	-0.458177934177273	0.119155538403668
1999.91666666667	-0.618311184708892	0.0724551864311092	-0.366601051375495	0.177813331303165	-0.47864204190461	0.1405652674054
2000	-0.67049659472065	0.0861902485819026	-0.356249352481382	0.177190974873788	-0.519650174780166	0.153892528429846
2000.08333333333	-0.710235270200613	0.119560121685705	-0.364592102292741	0.168382364548642	-0.519732427659009	0.156605057891223
2000.16666666667	-0.711667011658908	0.155169002165982	-0.364223174128438	0.173692120242073	-0.508648140663108	0.16312430238726
2000.25	-0.777581757601624	0.160593280989415	-0.364647350345102	0.186689145133913	-0.541879250724627	0.18477338802948
2000.33333333333	-0.762010292507959	0.203914282630883	-0.36917367374653	0.192740190353737	-0.588195712415581	0.19422487644871
2000.41666666667	-0.787769011463552	0.183297408330491	-0.422422738694486	0.120405866105606	-0.58698676279298	0.144914394660672
2000.5	-0.746869815457507	0.160779983907594	-0.443370782469746	0.0533354057757664	-0.580893721978766	0.0831445422384213
2000.58333333333	-0.70796857842896	0.0715069926327838	-0.424930942919009	-0.00893626587471934	-0.540731230154262	0.0253200078224575
2000.66666666667	-0.704841038050592	0.0122484504667129	-0.410895467777548	0.0803329615614705	-0.541299484312791	0.0634451133022944
2000.75	-0.696208236670256	0.0558541911207634	-0.404774672941847	0.0747864696429388	-0.528897494113311	0.0683319453635929
2000.83333333333	-0.657878033749947	0.0680647725338621	-0.404977055945014	0.0676025832155522	-0.498945705819127	0.0676384800934305
2000.91666666667	-0.662629388333815	0.0843250161608133	-0.337959146148787	0.0727928299502185	-0.466273186852771	0.0754551049496313
2001	-0.670053243485759	0.122198881305391	-0.312718399384385	0.0763904600497368	-0.474665285965189	0.0910310961310867
2001.08333333333	-0.669766246820999	0.151868645898721	-0.348934346935259	0.0917025198925064	-0.508423073028593	0.120911497542507
2001.16666666667	-0.688644177773736	0.109447388945812	-0.320674942011058	0.117381881726823	-0.468541994438709	0.112698691654461
2001.25	-0.72518965423798	0.108230095858156	-0.316029143897915	0.100778753389286	-0.474390978387468	0.101594761872172
2001.33333333333	-0.740411398485108	0.169597257903529	-0.303566514243811	0.0805162671990111	-0.469516656116735	0.0939294559051521
2001.41666666667	-0.711211548323492	0.153582071142984	-0.315803256900413	0.0595798912424106	-0.495895555702362	0.0859649037403888
2001.5	-0.651481810020975	0.0461336544819497	-0.342888989149379	0.0131239918314078	-0.489261018081475	0.0245446841623481
2001.58333333333	-0.6299384741436	0.0655178245354727	-0.32930153837609	-0.0193239122983297	-0.452929997707809	0.0198511257215077
2001.66666666667	-0.613957951483224	0.0475473629719181	-0.338854192616824	0.035892128374626	-0.416487340717559	0.0399346696074828
