Time	Magnitude	Latitude	Longitude	Depth
2006.398232	6.36	-8.065	110.348	15
2006.40146	6.46	-5.688	151.246	34
2006.402122	5.66	19.249	121.177	25
2006.404443	5.67	-59.571	-26.408	30
2006.405451	5.6	-42.084	88.416	15
2006.406894	5.66	-45.768	-75.671	25
2006.406968	5.94	-3.751	140.069	27.6
2006.406976	6.01	-15.36	-173.013	15
2006.423734	6.03	1.019	-28.122	10
2006.436606	5.77	-47.498	32.336	13.5
2006.44813	6.48	51.776	177.075	14
2006.450886	5.58	1.536	126.374	25
2006.451156	5.79	45.392	97.397	12.5
2006.45245	5.57	-15.434	-174.949	10
2006.453449	5.52	1.205	121.836	24.4
2006.455433	5.5	40.377	143.691	20
2006.460697	5.97	32.885	-39.652	10
2006.465211	5.61	51.547	-130.649	15
2006.468239	6.03	6.864	92.464	18.5
2006.477441	6.3	-0.372	123.294	30
2006.483534	6.24	52.246	176.097	25.9
2006.484287	5.75	-60.465	153.833	10
2006.48472	5.82	14.948	-94.191	32.5
2006.485298	6.27	6.431	92.668	21.8
2006.488368	5.81	26.842	55.853	17.5
2006.492371	5.62	-6.267	154.809	61.9
2006.496415	5.51	51.078	-179.226	21.3
2006.499895	5.72	-56.614	-142.427	10
2006.508324	5.77	39.091	71.739	21.7
2006.509605	5.74	-10.465	165.187	65.8
2006.511458	6.02	-15.258	-173.543	34.1
2006.519662	5.53	-11.591	-13.431	10
2006.525981	5.71	-8.512	67.778	10
2006.52923	5.74	-61.01	-36.779	10
2006.536586	6.19	-28.65	-72.482	10
2006.538937	7.72	-9.328	107.323	25.3
2006.541121	5.52	-0.191	125.045	35.4
2006.544591	5.52	32.907	96.186	9.9
2006.544803	5.93	57.207	-155.156	49.1
2006.544811	6.41	-5.533	150.709	26.8
2006.568979	5.86	24.195	122.65	33
2006.570864	5.57	37.34	68.667	33.7
2006.573111	5.59	23.488	-64.019	15
2006.573734	5.91	26.807	-111.228	15
2006.583476	5.86	-11.133	116.826	15
2006.591611	5.56	-33.116	-68.835	20
2006.594392	5.6	37.352	74.67	15
2006.59483	5.86	26.17	144.079	20
2006.608089	6.01	18.48	-101.151	56
2006.615111	5.63	-55.53	-124.713	10
2006.617737	5.79	-4.672	126.865	16
2006.618038	5.68	-9.187	150.526	15
2006.618804	5.66	51.154	179.262	20
2006.622051	5.94	-58.969	149.272	10
2006.622251	5.89	-28.802	61.678	15.4
2006.624138	5.72	55.649	161.764	55
2006.624611	5.65	46.557	142.002	16.4
2006.628986	5.57	16.214	-97.401	26.8
2006.631419	5.99	49.884	156.441	26
2006.631496	6.98	-61.01	-34.416	17.2
2006.641941	5.59	-4.295	152.837	44.9
2006.644518	6.46	51.14	157.543	43
2006.650203	5.7	51.317	-179.483	25
2006.65462	5.65	-10.828	165.109	20
2006.656957	5.77	-0.364	125.178	36
2006.660304	5.7	-17.704	65.848	10
2006.663812	5.52	28.754	130.186	33.2
2006.665105	6.75	-6.805	155.555	38
2006.669911	5.67	-21.946	-175.006	36.2
2006.690273	5.87	26.247	-86.757	14
2006.693384	5.5	35.534	78.167	12.1
2006.695864	5.54	8.272	126.557	46
2006.703425	5.82	-6.083	150.496	35
2006.70611	6.33	-3.018	129.536	17
2006.710902	5.76	51.604	-173.912	30
2006.71475	5.64	-26.162	-175.567	23.6
2006.720843	5.98	-9.009	110.433	25
2006.729516	5.56	-17.806	41.747	10
2006.729948	5.72	-0.149	124.911	35
2006.738035	5.95	46.431	153.466	12.8
